frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.74022,0.06114,0.61555,0.03720,0.01149,2955774.10000
60,0.51972,0.05465,0.40913,0.03384,0.00888,3390293.45000
120,0.47246,0.02752,0.38818,0.03402,0.00886,1763572.05000
180,0.42858,0.02791,0.34474,0.03382,0.00892,1334104.85000
240,0.38176,0.03052,0.29528,0.03386,0.00883,1563999.05000
300,0.32547,0.02557,0.24547,0.03325,0.00898,942806.45000
360,0.43426,0.01929,0.36002,0.03389,0.00888,651664.20000
420,0.46832,0.01512,0.39730,0.03434,0.00905,531526.60000
480,0.40240,0.01123,0.33593,0.03410,0.00895,335265.25000
540,0.38354,0.01309,0.31511,0.03403,0.00887,394504.35000
600,0.59273,0.08660,0.44994,0.03363,0.00888,4763095.10000
660,0.61105,0.12166,0.43306,0.03327,0.00900,7008309.50000
720,0.53721,0.12307,0.35815,0.03306,0.00889,6851715.25000
780,0.59522,0.12704,0.41214,0.03303,0.00897,6833477.10000
840,0.51310,0.15528,0.30272,0.03225,0.00886,7736553.50000
900,0.60563,0.15254,0.39693,0.03332,0.00893,7912527.20000
960,0.48288,0.11673,0.31100,0.03253,0.00893,6364935.35000
1020,0.45326,0.09449,0.30314,0.03254,0.00887,5390683.35000
1080,0.43592,0.07297,0.30706,0.03294,0.00894,4144249.10000
1140,0.38269,0.04425,0.28354,0.03274,0.00896,2469341.80000
1200,0.41619,0.04979,0.31150,0.03262,0.00886,2921893.50000
1260,0.23111,0.03118,0.14704,0.03176,0.00874,1600253.25000
1320,0.20610,0.03730,0.11642,0.03144,0.00854,1828604.05000
1380,0.48646,0.09587,0.33564,0.03269,0.00887,5316520.45000
1440,0.65043,0.14123,0.45346,0.03311,0.00883,7541994.90000
1500,0.71051,0.18166,0.47279,0.03310,0.00890,9143355.45000
1560,0.74520,0.21284,0.47634,0.03327,0.00868,10284076.30000
1620,0.77762,0.22620,0.49636,0.03294,0.00859,10793619.40000
1680,0.78050,0.23235,0.49436,0.03138,0.00861,11201993.95000
1740,0.71822,0.23049,0.43444,0.03095,0.00858,11196844.40000
1800,0.70451,0.23779,0.41287,0.03137,0.00876,11241036.30000
1860,0.74349,0.23738,0.45270,0.03117,0.00853,11241007.00000
1920,0.78631,0.23332,0.49859,0.03190,0.00873,11240943.40000
1980,0.74237,0.20473,0.48366,0.03173,0.00860,10257777.50000
2040,0.58846,0.13043,0.40236,0.03274,0.00901,7118236.70000
2100,0.49131,0.08330,0.35158,0.03350,0.00898,4779189.60000
2160,0.24519,0.03355,0.15832,0.03202,0.00883,1653801.50000
2220,0.06770,0.00629,0.01084,0.03077,0.00780,250198.20000
2280,0.05942,0.00369,0.00515,0.03065,0.00791,81778.25000
2340,0.05491,0.00222,0.00198,0.03062,0.00802,0.00000
2400,0.05473,0.00214,0.00199,0.03060,0.00802,0.00000
2460,0.05469,0.00221,0.00199,0.03047,0.00797,0.00000
